City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ha'il,27.5219,41.6907,20.01,30,0,0.0,SA,1683335889
1,al-hamdaniya,36.2715,43.3737,19.13,30,8,2.44,IQ,1683335889
2,flying fish cove,-10.4217,105.6791,25.82,94,40,3.09,CX,1683335717
3,chak azam sahu,30.75,73.0333,24.21,56,58,1.33,PK,1683335891
4,waitangi,-43.9535,-176.5597,17.12,85,100,3.58,NZ,1683335712
5,acapulco de juarez,16.8634,-99.8901,28.9,79,100,3.6,MX,1683335746
6,wotho,10.1657,166.0102,27.57,79,35,6.97,MH,1683335892
7,grytviken,-54.2811,-36.5092,2.62,91,100,5.58,GS,1683335698
8,zubtsov,56.1753,34.5894,-2.51,82,5,2.52,RU,1683335893
9,albany,42.6001,-73.9662,12.16,71,44,1.83,US,1683335698
10,kalmunai,7.4167,81.8167,26.18,79,100,2.51,LK,1683335893
11,east london,-33.0153,27.9116,18.78,81,0,5.27,ZA,1683335739
12,lebu,-37.6167,-73.65,11.77,92,11,5.03,CL,1683335738
13,hawaiian paradise park,19.5933,-154.9731,25.73,75,100,6.69,US,1683335699
14,susuman,62.7833,148.1667,-0.46,65,28,2.0,RU,1683335756
15,anloga,5.7947,0.8973,28.66,74,53,3.09,GH,1683335895
16,codrington,-38.2667,141.9667,11.15,61,98,5.18,AU,1683335775
17,georgetown,5.4112,100.3354,27.96,83,20,0.51,MY,1683335718
18,college,64.8569,-147.8028,12.18,35,40,0.0,US,1683335698
19,guerrero negro,27.9769,-114.0611,16.75,61,40,9.44,MX,1683335803
20,adamstown,-25.066,-130.1015,23.2,72,100,8.24,PN,1683335698
21,tostado,-29.232,-61.7692,16.1,85,100,5.25,AR,1683335799
22,tiksi,71.6872,128.8694,-10.68,82,84,7.16,RU,1683335729
23,namibe,-15.1961,12.1522,21.9,81,94,2.77,AO,1683335700
24,port-aux-francais,-49.35,70.2167,5.99,70,100,11.91,TF,1683335709
25,margaret river,-33.95,115.0667,13.66,62,74,7.01,AU,1683335703
26,meadow lake,34.8014,-106.5436,24.19,10,3,10.32,US,1683335800
27,kharp,66.8014,65.8081,-4.72,87,10,3.21,RU,1683335809
28,avarua,-21.2078,-159.775,28.03,83,75,7.72,CK,1683335698
29,plettenberg bay,-34.0527,23.3716,15.12,82,4,3.5,ZA,1683335900
30,nyurba,63.2842,118.3319,1.49,99,100,4.34,RU,1683335756
31,odiongan,12.4017,121.9919,28.79,73,54,3.33,PH,1683335901
32,bethel,41.3712,-73.414,12.05,84,40,1.54,US,1683335700
33,chonchi,-42.6128,-73.8092,11.56,97,59,0.9,CL,1683335759
34,lewistown,40.5992,-77.5714,11.01,87,0,0.0,US,1683335637
35,aasiaat,68.7098,-52.8699,-4.85,91,100,1.41,GL,1683335713
36,port blair,11.6667,92.75,28.69,74,100,1.99,IN,1683335902
37,qaqortoq,60.7167,-46.0333,1.47,74,13,0.87,GL,1683335701
38,fuyang,32.9,115.8167,14.87,67,100,5.77,CN,1683335903
39,blackmans bay,-43.0167,147.3167,10.29,63,7,2.17,AU,1683335704
40,danshui,22.7984,114.4672,29.48,66,32,4.26,CN,1683335904
41,okhotsk,59.3833,143.3,3.74,72,24,0.6,RU,1683335700
42,poronaysk,49.2167,143.1167,5.84,51,33,1.01,RU,1683335905
43,iqaluit,63.7506,-68.5145,-2.52,88,100,4.8,CA,1683335706
44,papatowai,-46.5619,169.4708,17.1,64,1,3.12,NZ,1683335720
45,buka,40.8108,69.1986,13.24,51,100,1.21,UZ,1683335803
46,sitka,57.0531,-135.33,9.94,66,75,2.57,US,1683335744
47,saint-philippe,-21.3585,55.7679,22.77,81,34,3.05,RE,1683335750
48,kodiak,57.79,-152.4072,5.73,87,100,3.09,US,1683335705
49,kavaratti,10.5669,72.642,28.66,68,76,3.27,IN,1683335907
50,bel ombre,-4.6167,55.4167,27.91,78,20,2.57,SC,1683335753
51,puerto natales,-51.7236,-72.4875,11.05,92,100,4.28,CL,1683335716
52,paradip garh,20.3167,86.6167,28.93,74,95,4.53,IN,1683335909
53,ilulissat,69.2167,-51.1,-1.99,93,100,0.0,GL,1683335709
54,kalisz,51.7611,18.091,8.18,80,100,6.88,PL,1683335909
55,utrik,11.2278,169.8474,27.09,76,100,7.16,MH,1683335754
56,thompson,55.7435,-97.8558,10.56,74,15,4.24,CA,1683335701
57,port saint john's,-31.6229,29.5448,18.64,86,0,3.38,ZA,1683335799
